ticket_id,account_id,created_at,resolved_at,priority,category,status,satisfaction_score
TKT-00059,ACC-0005,2024-12-11T14:19:22,2024-12-13T00:24:59.330794,p3,how_to,resolved,2.7
TKT-00060,ACC-0006,2024-08-21T07:31:13,2024-08-21T10:16:25.556189,p2,performance,resolved,3.3
TKT-00061,ACC-0006,2024-06-27T13:47:20,2024-06-28T07:44:15.394606,p2,performance,resolved,3.1
TKT-00062,ACC-0006,2024-09-13T02:57:15,2024-09-13T05:52:59.631024,p1,performance,resolved,3.8
TKT-00063,ACC-0006,2025-01-07T04:14:30,2025-01-10T09:10:38.173933,p3,bug,resolved,1.3
TKT-00064,ACC-0006,2024-07-05T00:18:53,2024-07-09T17:19:08.181258,p4,onboarding,resolved,3.6
TKT-00065,ACC-0006,2024-12-24T18:52:25,2024-12-26T06:47:39.388905,p4,feature_request,resolved,2.4
TKT-00066,ACC-0006,2024-06-03T22:47:31,2024-06-07T06:15:58.042373,p4,billing,resolved,1.1
TKT-00067,ACC-0006,2024-09-30T20:10:25,2024-10-04T18:40:22.909766,p4,billing,resolved,3.3
TKT-00068,ACC-0006,2024-12-11T21:32:44,2024-12-14T10:14:55.324614,p3,billing,resolved,1.9
TKT-00069,ACC-0007,2024-12-12T04:23:10,2024-12-15T11:01:29.223194,p4,feature_request,resolved,3.0
TKT-00070,ACC-0008,2024-11-16T21:58:15,2024-11-18T05:52:01.112455,p3,bug,resolved,4.7
TKT-00071,ACC-0008,2024-07-22T18:43:24,2024-07-23T21:07:43.846091,p3,billing,resolved,4.5
TKT-00072,ACC-0009,2024-11-22T05:56:53,2024-11-23T19:01:55.357915,p3,how_to,resolved,4.2
TKT-00073,ACC-0009,2024-12-19T17:46:13,2024-12-28T18:56:11.380379,p4,how_to,resolved,3.5
TKT-00074,ACC-0009,2024-10-21T06:15:09,2024-10-22T05:05:03.877507,p3,how_to,resolved,2.8
TKT-00075,ACC-0009,2024-08-18T10:57:47,2024-08-18T17:57:33.684756,p2,how_to,resolved,4.6
TKT-00076,ACC-0009,2025-01-27T23:18:33,2025-01-28T08:34:10.749991,p2,billing,resolved,2.9
TKT-00077,ACC-0010,2024-08-27T06:27:44,2024-08-27T16:17:13.857912,p3,feature_request,resolved,2.8
TKT-00078,ACC-0010,2024-10-20T18:01:19,2024-10-21T12:45:55.228310,p3,bug,resolved,2.3
TKT-00079,ACC-0010,2023-12-26T23:23:13,2023-12-30T03:49:08.370883,p4,feature_request,resolved,1.2
TKT-00080,ACC-0010,2024-09-06T17:27:42,2024-09-09T18:54:46.113527,p4,onboarding,resolved,1.6
TKT-00081,ACC-0010,2024-07-13T07:40:27,2024-07-15T03:05:19.508996,p3,billing,resolved,3.1
TKT-00082,ACC-0010,2024-09-27T02:09:45,2024-09-27T07:24:18.175392,p2,how_to,resolved,2.2
TKT-00083,ACC-0010,2024-02-01T19:57:42,2024-02-03T13:04:55.436296,p3,performance,resolved,1.4
TKT-00084,ACC-0010,2024-09-08T06:04:07,2024-09-08T17:15:34.868624,p3,bug,resolved,2.0
TKT-00085,ACC-0010,2024-02-19T19:25:51,2024-02-22T06:42:29.223638,p4,how_to,resolved,3.1
TKT-00086,ACC-0010,2024-11-14T06:03:51,2024-11-15T16:24:31.777411,p3,bug,resolved,2.9
TKT-00087,ACC-0010,2024-05-02T18:42:02,2024-05-04T09:06:08.944194,p3,bug,resolved,2.1
TKT-00088,ACC-0010,2025-01-26T09:26:18,2025-01-26T12:52:33.284916,p1,bug,resolved,3.3
TKT-00089,ACC-0010,2024-11-27T00:16:12,,p2,performance,open,
TKT-00090,ACC-0010,2024-10-15T13:02:48,2024-10-17T08:01:28.966038,p3,billing,resolved,3.9
TKT-00091,ACC-0010,2024-10-01T01:52:30,2024-10-03T05:44:35.754696,p4,onboarding,resolved,2.0
TKT-00092,ACC-0010,2024-09-08T07:41:49,2024-09-08T22:11:22.654373,p3,bug,resolved,2.6
TKT-00093,ACC-0010,2025-01-08T04:31:38,2025-01-09T13:41:55.514590,p3,feature_request,resolved,3.2
TKT-00094,ACC-0010,2024-05-01T11:15:19,2024-05-01T16:10:22.729149,p2,how_to,resolved,2.8
TKT-00095,ACC-0010,2024-06-12T08:11:34,2024-06-12T19:43:27.345540,p3,feature_request,resolved,2.7
TKT-00096,ACC-0010,2024-04-13T16:21:41,,p3,onboarding,escalated,
TKT-00097,ACC-0010,2023-12-12T07:30:48,2023-12-12T16:04:33.050111,p2,feature_request,resolved,1.5
TKT-00098,ACC-0010,2024-05-09T15:35:57,2024-05-11T08:28:15.382013,p3,performance,resolved,1.6
TKT-00099,ACC-0011,2025-01-11T01:46:45,2025-01-12T21:25:32.875708,p3,billing,resolved,3.9
TKT-00100,ACC-0011,2024-10-22T16:58:19,2024-10-26T04:01:37.580580,p4,billing,resolved,3.7
TKT-00101,ACC-0011,2025-01-16T11:23:48,2025-01-18T18:00:12.809553,p4,bug,resolved,4.8
TKT-00102,ACC-0011,2024-12-14T04:26:10,2024-12-14T14:37:38.278534,p3,how_to,resolved,2.8
TKT-00103,ACC-0011,2024-11-27T15:26:37,2024-11-27T19:09:02.840837,p1,onboarding,resolved,3.1
TKT-00104,ACC-0011,2024-07-31T03:30:12,2024-08-05T02:06:03.826742,p3,onboarding,resolved,3.6
TKT-00105,ACC-0012,2024-11-08T22:32:27,2024-11-09T01:09:35.252785,p1,how_to,resolved,3.7
TKT-00106,ACC-0012,2024-06-30T10:42:11,2024-07-01T10:15:10.123907,p3,onboarding,resolved,3.3
TKT-00107,ACC-0012,2024-03-11T05:44:26,2024-03-14T07:23:05.296085,p4,how_to,resolved,3.3
TKT-00108,ACC-0012,2024-11-03T16:35:22,,p2,how_to,open,
TKT-00109,ACC-0013,2024-07-16T09:06:01,2024-07-16T14:02:43.987785,p2,onboarding,resolved,2.7
TKT-00110,ACC-0013,2024-09-09T19:12:30,2024-09-11T03:23:58.051813,p4,feature_request,resolved,2.9
TKT-00111,ACC-0013,2024-08-03T08:01:08,2024-08-05T07:02:40.763216,p4,feature_request,resolved,4.3
TKT-00112,ACC-0013,2024-09-04T04:11:16,2024-09-05T14:36:29.398601,p4,how_to,resolved,3.0
TKT-00113,ACC-0013,2024-08-11T14:36:21,2024-08-16T08:09:14.858026,p4,how_to,resolved,3.6
TKT-00114,ACC-0013,2024-12-12T12:34:02,2024-12-13T13:18:53.243539,p3,bug,resolved,4.0
TKT-00115,ACC-0013,2025-01-22T07:30:22,2025-01-22T10:51:52.036890,p2,billing,resolved,3.9
TKT-00116,ACC-0014,2024-12-19T14:23:24,2024-12-19T21:01:11.612875,p2,bug,resolved,2.9
TKT-00117,ACC-0014,2023-09-07T14:01:10,2023-09-08T08:47:40.336519,p3,billing,resolved,3.9
TKT-00118,ACC-0014,2024-04-11T16:41:44,2024-04-14T13:01:02.363629,p3,billing,resolved,3.5
TKT-00119,ACC-0014,2023-02-12T21:13:49,2023-02-13T08:27:47.211187,p2,bug,resolved,2.7
TKT-00120,ACC-0014,2024-03-12T06:37:47,2024-03-12T08:54:47.820092,p1,performance,resolved,1.7
TKT-00121,ACC-0014,2023-07-03T09:32:59,2023-07-04T19:12:01.560531,p3,billing,resolved,3.4
TKT-00122,ACC-0014,2023-04-12T11:56:28,2023-04-13T20:15:13.169598,p3,billing,resolved,3.9
TKT-00123,ACC-0014,2023-08-11T11:12:10,2023-08-14T12:47:45.695897,p3,onboarding,resolved,3.3
TKT-00124,ACC-0014,2024-08-17T07:09:52,2024-08-18T22:34:07.360756,p3,bug,resolved,2.3
TKT-00125,ACC-0014,2023-12-17T16:22:09,2023-12-17T18:07:39.991408,p1,bug,resolved,2.1
TKT-00126,ACC-0014,2024-02-19T11:45:04,,p4,billing,open,
TKT-00127,ACC-0014,2024-04-11T05:14:04,2024-04-12T00:06:27.364966,p3,onboarding,resolved,3.7
TKT-00128,ACC-0014,2024-09-15T21:12:48,2024-09-16T02:50:40.954219,p2,bug,resolved,3.9
TKT-00129,ACC-0014,2023-08-10T15:57:46,2023-08-12T00:46:04.708150,p3,billing,resolved,1.1
TKT-00130,ACC-0014,2024-07-25T09:53:28,2024-07-27T03:18:08.145431,p3,onboarding,resolved,3.3
TKT-00131,ACC-0014,2024-02-09T19:01:07,2024-02-10T21:18:43.080157,p3,bug,resolved,2.2
TKT-00132,ACC-0014,2024-06-20T16:30:09,2024-06-22T04:21:55.730611,p2,performance,resolved,3.5
TKT-00133,ACC-0014,2024-08-10T21:42:15,2024-08-13T07:41:51.433828,p4,bug,resolved,2.2
TKT-00134,ACC-0014,2024-02-21T05:34:22,2024-02-28T05:44:36.890071,p4,onboarding,resolved,3.7
TKT-00135,ACC-0015,2024-06-12T02:34:44,2024-06-13T23:13:55.118398,p3,billing,resolved,3.1
TKT-00136,ACC-0015,2023-07-13T09:26:15,2023-07-13T15:56:50.949638,p2,feature_request,resolved,3.1
TKT-00137,ACC-0015,2023-09-10T06:38:24,2023-09-12T04:35:46.031907,p4,how_to,resolved,3.9
TKT-00138,ACC-0015,2024-02-13T12:56:55,2024-02-14T15:44:50.655103,p3,feature_request,resolved,3.4
TKT-00139,ACC-0015,2023-12-19T02:51:22,2023-12-20T09:41:05.369968,p3,bug,resolved,2.7
TKT-00140,ACC-0015,2024-05-09T02:35:00,2024-05-12T11:46:34.228727,p4,onboarding,resolved,3.0
TKT-00141,ACC-0015,2024-12-18T07:50:50,2024-12-22T09:50:38.817128,p4,feature_request,resolved,4.6
TKT-00142,ACC-0015,2024-01-04T23:32:13,2024-01-06T08:40:56.713957,p3,onboarding,resolved,3.9
TKT-00143,ACC-0015,2024-02-22T20:05:38,2024-02-23T07:44:50.275571,p1,how_to,resolved,3.8
TKT-00144,ACC-0015,2024-11-26T17:06:42,2024-11-27T12:28:01.466796,p2,onboarding,resolved,4.4
TKT-00145,ACC-0015,2024-09-23T16:58:54,2024-09-25T05:11:47.512262,p3,bug,resolved,3.1
TKT-00146,ACC-0015,2024-04-11T15:02:23,2024-04-12T09:03:08.179462,p3,bug,resolved,2.8
TKT-00147,ACC-0015,2024-07-01T14:12:53,2024-07-03T23:14:19.006514,p4,onboarding,resolved,4.3
TKT-00148,ACC-0015,2024-09-01T21:29:01,2024-09-03T02:55:25.837992,p3,billing,resolved,4.1
TKT-00149,ACC-0015,2024-08-15T09:06:07,2024-08-15T14:37:58.710942,p2,bug,resolved,2.6
TKT-00150,ACC-0015,2024-03-23T00:06:08,2024-03-23T05:36:14.768400,p1,feature_request,resolved,4.7
TKT-00151,ACC-0015,2024-05-25T11:57:57,2024-05-25T19:06:51.182424,p2,bug,resolved,2.6
TKT-00152,ACC-0015,2025-01-29T09:14:39,2025-01-31T18:46:16.796623,p4,billing,resolved,3.2
TKT-00153,ACC-0015,2024-08-30T11:59:05,2024-08-31T05:26:00.070189,p3,how_to,resolved,4.2
TKT-00154,ACC-0015,2024-03-12T22:23:48,2024-03-14T07:37:30.561472,p3,bug,resolved,4.9
TKT-00155,ACC-0015,2024-03-29T06:13:24,2024-03-30T02:11:28.101726,p3,onboarding,resolved,4.4
TKT-00156,ACC-0015,2024-12-26T22:09:56,2024-12-28T12:41:56.318002,p4,bug,resolved,3.8
TKT-00157,ACC-0016,2024-10-31T05:12:44,2024-11-02T08:07:35.264461,p4,billing,resolved,4.7
TKT-00158,ACC-0016,2024-08-21T05:07:26,2024-08-22T21:25:11.205804,p4,feature_request,resolved,3.9
TKT-00159,ACC-0016,2024-09-04T01:56:00,2024-09-08T17:18:35.003812,p4,performance,resolved,4.4
TKT-00160,ACC-0016,2024-08-13T15:15:07,2024-08-13T16:30:41.436545,p1,bug,resolved,2.9
TKT-00161,ACC-0016,2024-08-05T12:46:13,2024-08-06T19:29:01.778433,p3,billing,resolved,3.0
TKT-00162,ACC-0017,2024-07-20T20:35:39,2024-07-21T02:10:40.881885,p2,onboarding,resolved,2.8
TKT-00163,ACC-0017,2024-08-17T19:00:56,,p4,how_to,open,
TKT-00164,ACC-0017,2024-10-04T13:07:12,2024-10-08T11:20:27.721095,p4,how_to,resolved,4.1
TKT-00165,ACC-0017,2024-07-20T10:19:51,2024-07-21T08:39:56.501399,p2,feature_request,resolved,4.6
TKT-00166,ACC-0018,2024-09-24T00:18:24,,p4,how_to,open,
TKT-00167,ACC-0018,2024-04-16T05:13:41,2024-04-20T21:26:13.773225,p4,onboarding,resolved,3.4
TKT-00168,ACC-0018,2024-10-09T00:14:38,2024-10-10T08:22:13.021542,p3,billing,resolved,2.0
TKT-00169,ACC-0018,2024-08-14T01:34:52,2024-08-14T15:19:39.247963,p3,how_to,resolved,3.6
TKT-00170,ACC-0018,2023-07-18T19:26:35,2023-07-19T00:38:28.925324,p2,performance,resolved,3.7
TKT-00171,ACC-0018,2023-07-23T18:34:57,2023-07-25T01:57:59.889928,p3,onboarding,resolved,1.3
TKT-00172,ACC-0018,2023-08-12T01:42:07,2023-08-13T06:31:32.588416,p3,feature_request,resolved,3.7
TKT-00173,ACC-0018,2024-09-20T16:35:19,2024-09-22T10:12:53.878970,p3,bug,resolved,3.9
TKT-00174,ACC-0018,2024-03-07T02:06:57,2024-03-11T01:58:25.592264,p3,bug,resolved,3.7
TKT-00175,ACC-0018,2023-09-27T18:19:35,2023-10-07T12:34:28.963950,p4,bug,resolved,3.2
TKT-00176,ACC-0018,2024-09-09T19:14:36,2024-09-13T15:14:47.785982,p4,how_to,resolved,3.7
TKT-00177,ACC-0018,2024-05-27T22:41:47,2024-05-29T04:07:44.317680,p4,billing,resolved,3.7
TKT-00178,ACC-0018,2024-10-07T11:18:08,2024-10-10T06:35:17.917975,p4,how_to,resolved,1.5
TKT-00179,ACC-0018,2024-04-07T11:56:24,2024-04-09T09:19:27.523731,p3,onboarding,resolved,3.3
TKT-00180,ACC-0018,2024-06-02T12:59:08,2024-06-05T20:04:27.626103,p4,onboarding,resolved,3.1
TKT-00181,ACC-0018,2023-10-02T19:28:41,2023-10-13T09:02:15.713018,p4,bug,resolved,4.0
TKT-00182,ACC-0018,2023-05-14T01:56:32,2023-05-15T03:42:59.663307,p2,billing,resolved,3.5
TKT-00183,ACC-0018,2024-12-02T17:19:03,2024-12-03T11:12:07.127108,p3,performance,resolved,1.4
TKT-00184,ACC-0018,2023-07-25T18:36:50,2023-07-27T14:19:56.853550,p3,onboarding,resolved,1.3
TKT-00185,ACC-0018,2023-10-13T02:26:03,2023-10-14T15:46:26.933960,p3,feature_request,resolved,3.8
TKT-00186,ACC-0018,2023-08-20T16:35:36,2023-08-28T16:16:09.030337,p4,bug,resolved,1.7
TKT-00187,ACC-0018,2023-12-02T07:18:38,2023-12-07T13:19:20.365624,p3,onboarding,resolved,1.4
TKT-00188,ACC-0018,2023-07-14T09:01:58,2023-07-15T13:07:19.756916,p3,onboarding,resolved,2.0
TKT-00189,ACC-0018,2023-10-17T18:40:34,2023-10-18T02:21:28.359054,p2,performance,resolved,3.5
TKT-00190,ACC-0019,2024-01-05T23:44:40,2024-01-11T01:36:00.580191,p3,feature_request,resolved,3.7
TKT-00191,ACC-0019,2024-04-02T07:40:38,2024-04-04T17:44:47.209027,p3,bug,resolved,4.4
TKT-00192,ACC-0019,2024-07-26T01:32:01,,p3,onboarding,open,
TKT-00193,ACC-0019,2024-01-30T08:28:26,2024-02-03T09:46:22.825246,p4,performance,resolved,3.9
TKT-00194,ACC-0019,2024-02-06T08:26:19,2024-02-07T02:34:54.088206,p3,how_to,resolved,4.3
TKT-00195,ACC-0019,2024-08-08T21:49:18,2024-08-13T10:31:56.581807,p4,billing,resolved,2.8
TKT-00196,ACC-0020,2024-08-06T01:00:36,2024-08-06T17:10:35.111842,p3,how_to,resolved,3.3
TKT-00197,ACC-0020,2024-12-25T15:19:15,2024-12-26T12:18:27.543788,p3,bug,resolved,3.1
TKT-00198,ACC-0021,2023-05-03T16:22:20,2023-05-04T08:26:39.504557,p2,bug,resolved,4.2
TKT-00199,ACC-0021,2024-12-21T20:40:30,2024-12-22T15:43:03.060960,p3,feature_request,resolved,2.5
TKT-00200,ACC-0021,2023-02-22T12:38:37,2023-02-23T23:11:36.822866,p4,bug,resolved,4.3
TKT-00201,ACC-0021,2024-05-03T21:19:57,2024-05-05T03:14:30.180924,p2,bug,resolved,4.8
TKT-00202,ACC-0021,2023-09-21T20:28:09,2023-09-25T12:54:45.648046,p4,how_to,resolved,2.7
TKT-00203,ACC-0021,2024-02-12T14:11:35,2024-02-14T20:01:05.301158,p4,billing,resolved,4.0
TKT-00204,ACC-0021,2024-02-19T19:52:46,2024-02-21T15:34:47.828530,p4,how_to,resolved,2.9
TKT-00205,ACC-0021,2024-01-21T02:56:00,2024-01-22T15:53:53.426361,p3,how_to,resolved,4.1
TKT-00206,ACC-0021,2023-11-04T15:13:08,2023-11-06T10:41:42.448454,p4,bug,resolved,4.2
TKT-00207,ACC-0021,2023-07-06T04:47:16,2023-07-06T14:07:03.359838,p2,performance,resolved,4.8
TKT-00208,ACC-0021,2023-03-24T21:43:53,2023-03-25T09:17:45.525495,p3,performance,resolved,4.3
TKT-00209,ACC-0021,2023-08-28T02:32:17,2023-08-29T01:40:18.511194,p3,bug,resolved,3.7
TKT-00210,ACC-0021,2024-12-13T07:40:49,2024-12-19T10:58:28.105764,p4,onboarding,resolved,2.8
TKT-00211,ACC-0021,2024-02-19T01:31:03,2024-02-19T10:43:51.839875,p2,billing,resolved,4.0
TKT-00212,ACC-0021,2023-05-12T14:44:18,2023-05-16T04:16:51.016946,p4,billing,resolved,4.7
TKT-00213,ACC-0021,2024-11-12T13:20:47,2024-11-14T13:28:08.839631,p4,bug,resolved,4.5
TKT-00214,ACC-0021,2023-04-04T18:05:23,2023-04-06T06:39:24.230485,p3,billing,resolved,3.7
TKT-00215,ACC-0021,2023-12-21T05:43:41,2023-12-23T10:15:15.772491,p4,billing,resolved,4.3
TKT-00216,ACC-0021,2024-02-29T22:49:13,,p4,onboarding,open,
TKT-00217,ACC-0021,2023-04-11T12:59:30,2023-04-13T18:54:15.070682,p4,billing,resolved,3.4
TKT-00218,ACC-0021,2024-05-06T04:27:14,2024-05-07T23:56:40.536680,p3,performance,resolved,3.1
TKT-00219,ACC-0021,2024-06-15T21:43:06,2024-06-16T02:04:31.999163,p2,bug,resolved,2.5
TKT-00220,ACC-0022,2023-12-19T15:20:44,2023-12-24T06:16:48.519331,p4,bug,resolved,3.8
TKT-00221,ACC-0022,2024-03-04T20:23:47,2024-03-06T04:15:25.306571,p3,performance,resolved,2.7
TKT-00222,ACC-0022,2024-03-02T21:14:40,2024-03-08T14:24:11.885877,p3,bug,resolved,4.7
TKT-00223,ACC-0023,2025-01-25T00:23:31,2025-01-26T13:35:53.702402,p3,feature_request,resolved,3.6
TKT-00224,ACC-0023,2024-10-20T14:02:42,2024-10-22T09:19:04.400881,p3,billing,resolved,3.3
TKT-00225,ACC-0023,2024-07-11T23:57:08,2024-07-13T16:45:36.512182,p3,bug,resolved,3.1
TKT-00226,ACC-0023,2024-04-18T01:56:36,2024-04-21T07:41:43.673936,p4,bug,resolved,3.8
TKT-00227,ACC-0023,2024-06-20T09:18:26,2024-06-20T10:54:27.144161,p1,how_to,resolved,3.3
TKT-00228,ACC-0023,2024-05-01T00:02:54,2024-05-02T11:35:45.521798,p4,bug,resolved,3.1
TKT-00229,ACC-0023,2024-10-18T17:37:03,2024-10-21T17:22:33.754541,p4,performance,resolved,2.9
TKT-00230,ACC-0023,2025-01-06T21:07:45,2025-01-08T15:13:02.959239,p3,bug,resolved,3.3
TKT-00231,ACC-0023,2024-08-24T15:01:22,2024-08-25T13:51:37.915012,p3,billing,resolved,2.3
TKT-00232,ACC-0024,2025-01-04T11:17:24,2025-01-04T15:02:06.188018,p2,bug,resolved,2.2
TKT-00233,ACC-0024,2024-12-31T12:18:17,2025-01-02T09:41:55.015650,p3,bug,resolved,2.1
TKT-00234,ACC-0024,2025-01-09T04:04:36,2025-01-09T10:00:46.079785,p2,billing,resolved,3.8
TKT-00235,ACC-0024,2024-08-09T15:33:23,2024-08-12T22:14:32.226023,p3,billing,resolved,1.4
TKT-00236,ACC-0024,2024-12-02T22:43:44,2024-12-04T03:33:07.515060,p2,performance,resolved,2.6
TKT-00237,ACC-0024,2024-10-08T17:22:48,2024-10-10T00:37:53.512226,p4,performance,resolved,1.2
TKT-00238,ACC-0024,2024-11-04T23:05:56,2024-11-06T13:05:16.026313,p3,bug,resolved,3.4
TKT-00239,ACC-0024,2024-11-01T22:27:31,,p3,bug,open,
TKT-00240,ACC-0024,2024-09-06T11:31:55,2024-09-06T15:06:54.431506,p1,how_to,resolved,2.0
TKT-00241,ACC-0024,2024-12-28T13:27:06,2024-12-28T20:00:40.838415,p2,billing,resolved,1.6
TKT-00242,ACC-0024,2024-10-27T12:59:01,2024-10-29T04:41:22.154791,p3,onboarding,resolved,4.0
TKT-00243,ACC-0024,2024-09-09T14:21:00,2024-09-14T04:33:27.268329,p3,bug,resolved,2.9
TKT-00244,ACC-0024,2024-12-20T20:00:38,2024-12-22T14:26:29.588224,p3,onboarding,resolved,1.1
TKT-00245,ACC-0024,2025-01-10T04:23:39,,p4,bug,open,
TKT-00246,ACC-0024,2024-06-06T09:23:13,2024-06-06T10:33:16.306078,p1,how_to,resolved,1.6
