invoice_id,account_id,invoice_date,amount,currency,status,line_items
INV-000037,ACC-0004,2023-12-04,578,USD,paid,novacrm_platform|advanced_analytics
INV-000038,ACC-0004,2024-01-01,578,USD,paid,novacrm_platform|advanced_analytics
INV-000039,ACC-0004,2024-02-04,578,USD,paid,novacrm_platform|advanced_analytics
INV-000040,ACC-0004,2024-03-02,578,USD,paid,novacrm_platform|advanced_analytics
INV-000041,ACC-0004,2024-04-02,578,USD,overdue,novacrm_platform|advanced_analytics
INV-000042,ACC-0004,2024-05-04,578,USD,paid,novacrm_platform|advanced_analytics
INV-000043,ACC-0004,2024-06-01,578,USD,paid,novacrm_platform|advanced_analytics
INV-000044,ACC-0004,2024-07-03,578,USD,paid,novacrm_platform|advanced_analytics
INV-000045,ACC-0004,2024-08-01,578,USD,paid,novacrm_platform|advanced_analytics
INV-000046,ACC-0004,2024-09-04,578,USD,paid,novacrm_platform|advanced_analytics
INV-000047,ACC-0004,2024-10-03,578,USD,overdue,novacrm_platform|advanced_analytics
INV-000048,ACC-0004,2024-11-01,578,USD,paid,novacrm_platform|advanced_analytics
INV-000049,ACC-0004,2024-12-03,578,USD,paid,novacrm_platform|advanced_analytics
INV-000050,ACC-0004,2025-01-03,578,USD,paid,novacrm_platform|advanced_analytics
INV-000051,ACC-0005,2024-05-01,499,USD,paid,novacrm_platform
INV-000052,ACC-0005,2024-06-02,499,USD,paid,novacrm_platform
INV-000053,ACC-0005,2024-07-04,499,USD,paid,novacrm_platform
INV-000054,ACC-0005,2024-08-01,499,USD,paid,novacrm_platform
INV-000055,ACC-0005,2024-09-03,558,USD,paid,novacrm_platform|priority_support
INV-000056,ACC-0005,2024-10-02,558,USD,paid,novacrm_platform|priority_support
INV-000057,ACC-0005,2024-11-03,558,USD,overdue,novacrm_platform|priority_support
INV-000058,ACC-0005,2024-12-04,558,USD,paid,novacrm_platform|priority_support
INV-000059,ACC-0005,2025-01-02,558,USD,paid,novacrm_platform|priority_support
INV-000060,ACC-0006,2024-06-04,49,USD,paid,novacrm_platform
INV-000061,ACC-0006,2024-07-04,49,USD,paid,novacrm_platform
INV-000062,ACC-0006,2024-08-03,128,USD,overdue,novacrm_platform|advanced_analytics
INV-000063,ACC-0006,2024-09-01,128,USD,paid,novacrm_platform|advanced_analytics
INV-000064,ACC-0006,2024-10-03,128,USD,paid,novacrm_platform|advanced_analytics
INV-000065,ACC-0006,2024-11-02,128,USD,paid,novacrm_platform|advanced_analytics
INV-000066,ACC-0006,2024-12-02,128,USD,overdue,novacrm_platform|advanced_analytics
INV-000067,ACC-0006,2025-01-02,128,USD,overdue,novacrm_platform|advanced_analytics
INV-000068,ACC-0007,2024-10-02,49,USD,paid,novacrm_platform
INV-000069,ACC-0007,2024-11-02,49,USD,paid,novacrm_platform
INV-000070,ACC-0007,2024-12-01,49,USD,paid,novacrm_platform
INV-000071,ACC-0007,2025-01-03,49,USD,paid,novacrm_platform
INV-000072,ACC-0008,2024-07-02,49,USD,paid,novacrm_platform
INV-000073,ACC-0008,2024-08-01,49,USD,paid,novacrm_platform
INV-000074,ACC-0008,2024-09-04,49,USD,paid,novacrm_platform
INV-000075,ACC-0008,2024-10-04,49,USD,overdue,novacrm_platform
INV-000076,ACC-0008,2024-11-04,49,USD,paid,novacrm_platform
INV-000077,ACC-0008,2024-12-01,49,USD,paid,novacrm_platform
INV-000078,ACC-0008,2025-01-03,49,USD,paid,novacrm_platform
INV-000079,ACC-0009,2024-09-04,499,USD,paid,novacrm_platform
INV-000080,ACC-0009,2024-10-03,499,USD,paid,novacrm_platform
INV-000081,ACC-0009,2024-11-02,499,USD,paid,novacrm_platform
INV-000082,ACC-0009,2024-12-02,499,USD,paid,novacrm_platform
INV-000083,ACC-0009,2025-01-01,499,USD,paid,novacrm_platform
INV-000084,ACC-0010,2023-11-02,149,USD,paid,novacrm_platform
INV-000085,ACC-0010,2023-12-02,149,USD,paid,novacrm_platform
INV-000086,ACC-0010,2024-01-02,149,USD,paid,novacrm_platform
INV-000087,ACC-0010,2024-02-03,149,USD,paid,novacrm_platform
INV-000088,ACC-0010,2024-03-03,149,USD,paid,novacrm_platform
INV-000089,ACC-0010,2024-04-03,149,USD,paid,novacrm_platform
INV-000090,ACC-0010,2024-05-03,149,USD,paid,novacrm_platform
INV-000091,ACC-0010,2024-06-01,149,USD,paid,novacrm_platform
INV-000092,ACC-0010,2024-07-02,149,USD,paid,novacrm_platform
INV-000093,ACC-0010,2024-08-02,149,USD,paid,novacrm_platform
INV-000094,ACC-0010,2024-09-03,149,USD,paid,novacrm_platform
INV-000095,ACC-0010,2024-10-01,149,USD,paid,novacrm_platform
INV-000096,ACC-0010,2024-11-01,149,USD,paid,novacrm_platform
INV-000097,ACC-0010,2024-12-03,149,USD,paid,novacrm_platform
INV-000098,ACC-0010,2025-01-04,149,USD,overdue,novacrm_platform
INV-000099,ACC-0011,2024-08-01,149,USD,paid,novacrm_platform
INV-000100,ACC-0011,2024-09-03,149,USD,paid,novacrm_platform
INV-000101,ACC-0011,2024-10-03,149,USD,paid,novacrm_platform
INV-000102,ACC-0011,2024-11-04,149,USD,paid,novacrm_platform
INV-000103,ACC-0011,2024-12-01,149,USD,paid,novacrm_platform
INV-000104,ACC-0011,2025-01-02,149,USD,paid,novacrm_platform
INV-000105,ACC-0012,2023-11-04,149,USD,paid,novacrm_platform
INV-000106,ACC-0012,2023-12-03,149,USD,paid,novacrm_platform
INV-000107,ACC-0012,2024-01-03,149,USD,paid,novacrm_platform
INV-000108,ACC-0012,2024-02-03,149,USD,paid,novacrm_platform
INV-000109,ACC-0012,2024-03-03,178,USD,paid,novacrm_platform|api_access
INV-000110,ACC-0012,2024-04-02,178,USD,overdue,novacrm_platform|api_access
INV-000111,ACC-0012,2024-05-01,178,USD,paid,novacrm_platform|api_access
INV-000112,ACC-0012,2024-06-04,178,USD,paid,novacrm_platform|api_access
INV-000113,ACC-0012,2024-07-04,178,USD,paid,novacrm_platform|api_access
INV-000114,ACC-0012,2024-08-01,178,USD,paid,novacrm_platform|api_access
INV-000115,ACC-0012,2024-09-04,178,USD,paid,novacrm_platform|api_access
INV-000116,ACC-0012,2024-10-04,178,USD,paid,novacrm_platform|api_access
INV-000117,ACC-0012,2024-11-02,178,USD,paid,novacrm_platform|api_access
INV-000118,ACC-0012,2024-12-03,178,USD,paid,novacrm_platform|api_access
INV-000119,ACC-0012,2025-01-02,178,USD,paid,novacrm_platform|api_access
INV-000120,ACC-0013,2024-05-04,149,USD,paid,novacrm_platform
INV-000121,ACC-0013,2024-06-03,149,USD,paid,novacrm_platform
INV-000122,ACC-0013,2024-07-01,149,USD,paid,novacrm_platform
INV-000123,ACC-0013,2024-08-04,149,USD,overdue,novacrm_platform
INV-000124,ACC-0013,2024-09-02,149,USD,overdue,novacrm_platform
INV-000125,ACC-0013,2024-10-01,149,USD,paid,novacrm_platform
INV-000126,ACC-0013,2024-11-04,149,USD,paid,novacrm_platform
INV-000127,ACC-0013,2024-12-04,149,USD,paid,novacrm_platform
INV-000128,ACC-0013,2025-01-01,149,USD,paid,novacrm_platform
INV-000129,ACC-0014,2023-03-04,49,USD,paid,novacrm_platform
INV-000130,ACC-0014,2023-04-03,49,USD,paid,novacrm_platform
INV-000131,ACC-0014,2023-05-04,49,USD,paid,novacrm_platform
INV-000132,ACC-0014,2023-06-04,49,USD,paid,novacrm_platform
INV-000133,ACC-0014,2023-07-02,128,USD,paid,novacrm_platform|advanced_analytics
INV-000134,ACC-0014,2023-08-03,128,USD,paid,novacrm_platform|advanced_analytics
INV-000135,ACC-0015,2023-07-04,499,USD,paid,novacrm_platform
INV-000136,ACC-0015,2023-08-03,499,USD,paid,novacrm_platform
INV-000137,ACC-0015,2023-09-01,528,USD,paid,novacrm_platform|api_access
INV-000138,ACC-0015,2023-10-01,528,USD,paid,novacrm_platform|api_access
INV-000139,ACC-0015,2023-11-03,528,USD,paid,novacrm_platform|api_access
INV-000140,ACC-0015,2023-12-03,528,USD,paid,novacrm_platform|api_access
INV-000141,ACC-0015,2024-01-02,528,USD,paid,novacrm_platform|api_access
INV-000142,ACC-0015,2024-02-04,528,USD,paid,novacrm_platform|api_access
INV-000143,ACC-0015,2024-03-01,528,USD,paid,novacrm_platform|api_access
INV-000144,ACC-0015,2024-04-03,528,USD,paid,novacrm_platform|api_access
INV-000145,ACC-0015,2024-05-04,528,USD,paid,novacrm_platform|api_access
INV-000146,ACC-0015,2024-06-02,528,USD,paid,novacrm_platform|api_access
INV-000147,ACC-0015,2024-07-03,528,USD,paid,novacrm_platform|api_access
INV-000148,ACC-0015,2024-08-03,528,USD,paid,novacrm_platform|api_access
INV-000149,ACC-0015,2024-09-04,528,USD,paid,novacrm_platform|api_access
INV-000150,ACC-0015,2024-10-03,528,USD,paid,novacrm_platform|api_access
INV-000151,ACC-0015,2024-11-01,528,USD,paid,novacrm_platform|api_access
INV-000152,ACC-0015,2024-12-01,528,USD,paid,novacrm_platform|api_access
INV-000153,ACC-0015,2025-01-03,528,USD,overdue,novacrm_platform|api_access
INV-000154,ACC-0016,2024-06-01,49,USD,paid,novacrm_platform
INV-000155,ACC-0016,2024-07-03,49,USD,paid,novacrm_platform
INV-000156,ACC-0016,2024-08-02,49,USD,overdue,novacrm_platform
INV-000157,ACC-0016,2024-09-04,49,USD,paid,novacrm_platform
INV-000158,ACC-0016,2024-10-04,49,USD,paid,novacrm_platform
INV-000159,ACC-0016,2024-11-02,49,USD,paid,novacrm_platform
INV-000160,ACC-0016,2024-12-01,49,USD,paid,novacrm_platform
INV-000161,ACC-0016,2025-01-04,49,USD,paid,novacrm_platform
INV-000162,ACC-0017,2024-07-02,49,USD,paid,novacrm_platform
INV-000163,ACC-0017,2024-08-02,49,USD,paid,novacrm_platform
INV-000164,ACC-0017,2024-09-04,49,USD,paid,novacrm_platform
INV-000165,ACC-0017,2024-10-01,49,USD,paid,novacrm_platform
INV-000166,ACC-0017,2024-11-02,78,USD,paid,novacrm_platform|api_access
INV-000167,ACC-0017,2024-12-04,78,USD,paid,novacrm_platform|api_access
INV-000168,ACC-0017,2025-01-03,78,USD,paid,novacrm_platform|api_access
INV-000169,ACC-0018,2023-03-04,49,USD,overdue,novacrm_platform
INV-000170,ACC-0018,2023-04-03,49,USD,paid,novacrm_platform
INV-000171,ACC-0018,2023-05-03,49,USD,paid,novacrm_platform
INV-000172,ACC-0018,2023-06-02,49,USD,paid,novacrm_platform
INV-000173,ACC-0018,2023-07-03,49,USD,overdue,novacrm_platform
INV-000174,ACC-0018,2023-08-02,49,USD,paid,novacrm_platform
INV-000175,ACC-0018,2023-09-03,49,USD,overdue,novacrm_platform
INV-000176,ACC-0018,2023-10-02,49,USD,paid,novacrm_platform
INV-000177,ACC-0018,2023-11-04,49,USD,paid,novacrm_platform
INV-000178,ACC-0018,2023-12-03,49,USD,paid,novacrm_platform
INV-000179,ACC-0018,2024-01-03,49,USD,paid,novacrm_platform
INV-000180,ACC-0018,2024-02-04,49,USD,paid,novacrm_platform
INV-000181,ACC-0018,2024-03-04,49,USD,paid,novacrm_platform
INV-000182,ACC-0018,2024-04-02,49,USD,paid,novacrm_platform
INV-000183,ACC-0019,2024-01-03,149,USD,paid,novacrm_platform
INV-000184,ACC-0019,2024-02-01,149,USD,overdue,novacrm_platform
INV-000185,ACC-0019,2024-03-04,149,USD,paid,novacrm_platform
INV-000186,ACC-0019,2024-04-04,149,USD,paid,novacrm_platform
INV-000187,ACC-0019,2024-05-03,149,USD,paid,novacrm_platform
INV-000188,ACC-0019,2024-06-03,149,USD,overdue,novacrm_platform
INV-000189,ACC-0019,2024-07-02,149,USD,paid,novacrm_platform
INV-000190,ACC-0019,2024-08-02,149,USD,paid,novacrm_platform
INV-000191,ACC-0019,2024-09-01,149,USD,paid,novacrm_platform
INV-000192,ACC-0019,2024-10-03,149,USD,paid,novacrm_platform
INV-000193,ACC-0019,2024-11-01,149,USD,paid,novacrm_platform
INV-000194,ACC-0019,2024-12-02,149,USD,paid,novacrm_platform
INV-000195,ACC-0019,2025-01-02,149,USD,paid,novacrm_platform
INV-000196,ACC-0020,2024-07-04,49,USD,paid,novacrm_platform
INV-000197,ACC-0020,2024-08-02,128,USD,paid,novacrm_platform|advanced_analytics
INV-000198,ACC-0020,2024-09-03,128,USD,paid,novacrm_platform|advanced_analytics
INV-000199,ACC-0020,2024-10-01,128,USD,paid,novacrm_platform|advanced_analytics
INV-000200,ACC-0020,2024-11-01,128,USD,paid,novacrm_platform|advanced_analytics
INV-000201,ACC-0020,2024-12-02,128,USD,paid,novacrm_platform|advanced_analytics
INV-000202,ACC-0020,2025-01-01,128,USD,paid,novacrm_platform|advanced_analytics
INV-000203,ACC-0021,2023-03-02,149,USD,paid,novacrm_platform
INV-000204,ACC-0021,2023-04-02,208,USD,paid,novacrm_platform|priority_support
INV-000205,ACC-0021,2023-05-01,208,USD,overdue,novacrm_platform|priority_support
INV-000206,ACC-0021,2023-06-04,208,USD,overdue,novacrm_platform|priority_support
INV-000207,ACC-0021,2023-07-02,208,USD,paid,novacrm_platform|priority_support
INV-000208,ACC-0021,2023-08-03,208,USD,overdue,novacrm_platform|priority_support
INV-000209,ACC-0021,2023-09-01,208,USD,paid,novacrm_platform|priority_support
INV-000210,ACC-0021,2023-10-01,208,USD,paid,novacrm_platform|priority_support
INV-000211,ACC-0021,2023-11-03,208,USD,overdue,novacrm_platform|priority_support
INV-000212,ACC-0021,2023-12-04,208,USD,paid,novacrm_platform|priority_support
INV-000213,ACC-0021,2024-01-02,208,USD,paid,novacrm_platform|priority_support
INV-000214,ACC-0021,2024-02-04,208,USD,paid,novacrm_platform|priority_support
INV-000215,ACC-0021,2024-03-01,208,USD,paid,novacrm_platform|priority_support
INV-000216,ACC-0021,2024-04-04,208,USD,paid,novacrm_platform|priority_support
INV-000217,ACC-0021,2024-05-02,208,USD,paid,novacrm_platform|priority_support
INV-000218,ACC-0021,2024-06-03,208,USD,paid,novacrm_platform|priority_support
INV-000219,ACC-0021,2024-07-02,208,USD,paid,novacrm_platform|priority_support
INV-000220,ACC-0021,2024-08-04,208,USD,paid,novacrm_platform|priority_support
INV-000221,ACC-0021,2024-09-03,208,USD,paid,novacrm_platform|priority_support
INV-000222,ACC-0021,2024-10-01,208,USD,paid,novacrm_platform|priority_support
INV-000223,ACC-0021,2024-11-02,208,USD,paid,novacrm_platform|priority_support
INV-000224,ACC-0021,2024-12-02,208,USD,paid,novacrm_platform|priority_support
INV-000225,ACC-0021,2025-01-04,208,USD,paid,novacrm_platform|priority_support
INV-000226,ACC-0022,2023-12-03,149,USD,paid,novacrm_platform
INV-000227,ACC-0022,2024-01-03,149,USD,overdue,novacrm_platform
INV-000228,ACC-0022,2024-02-01,228,USD,paid,novacrm_platform|advanced_analytics
INV-000229,ACC-0022,2024-03-03,228,USD,paid,novacrm_platform|advanced_analytics
INV-000230,ACC-0022,2024-04-01,228,USD,paid,novacrm_platform|advanced_analytics
INV-000231,ACC-0022,2024-05-04,228,USD,paid,novacrm_platform|advanced_analytics
INV-000232,ACC-0022,2024-06-04,228,USD,paid,novacrm_platform|advanced_analytics
INV-000233,ACC-0022,2024-07-03,228,USD,paid,novacrm_platform|advanced_analytics
INV-000234,ACC-0022,2024-08-03,228,USD,paid,novacrm_platform|advanced_analytics
INV-000235,ACC-0022,2024-09-02,228,USD,paid,novacrm_platform|advanced_analytics
INV-000236,ACC-0022,2024-10-02,228,USD,paid,novacrm_platform|advanced_analytics
INV-000237,ACC-0022,2024-11-04,228,USD,paid,novacrm_platform|advanced_analytics
INV-000238,ACC-0022,2024-12-03,228,USD,paid,novacrm_platform|advanced_analytics
INV-000239,ACC-0022,2025-01-04,228,USD,paid,novacrm_platform|advanced_analytics
INV-000240,ACC-0023,2024-04-02,149,USD,paid,novacrm_platform
INV-000241,ACC-0023,2024-05-01,178,USD,paid,novacrm_platform|api_access
INV-000242,ACC-0024,2024-06-03,149,USD,paid,novacrm_platform
INV-000243,ACC-0024,2024-07-01,149,USD,paid,novacrm_platform
INV-000244,ACC-0024,2024-08-02,149,USD,paid,novacrm_platform
INV-000245,ACC-0024,2024-09-02,149,USD,paid,novacrm_platform
INV-000246,ACC-0024,2024-10-04,178,USD,paid,novacrm_platform|api_access
INV-000247,ACC-0024,2024-11-02,178,USD,paid,novacrm_platform|api_access
INV-000248,ACC-0025,2024-08-04,49,USD,paid,novacrm_platform
INV-000249,ACC-0025,2024-09-04,49,USD,paid,novacrm_platform
INV-000250,ACC-0025,2024-10-04,49,USD,paid,novacrm_platform
INV-000251,ACC-0025,2024-11-04,49,USD,paid,novacrm_platform
INV-000252,ACC-0025,2024-12-01,78,USD,paid,novacrm_platform|api_access
INV-000253,ACC-0025,2025-01-03,78,USD,overdue,novacrm_platform|api_access
INV-000254,ACC-0026,2024-04-04,149,USD,paid,novacrm_platform
INV-000255,ACC-0026,2024-05-01,149,USD,paid,novacrm_platform
INV-000256,ACC-0026,2024-06-01,149,USD,paid,novacrm_platform
INV-000257,ACC-0026,2024-07-03,149,USD,paid,novacrm_platform
INV-000258,ACC-0026,2024-08-01,149,USD,paid,novacrm_platform
INV-000259,ACC-0026,2024-09-01,178,USD,overdue,novacrm_platform|api_access
INV-000260,ACC-0026,2024-10-04,178,USD,overdue,novacrm_platform|api_access
INV-000261,ACC-0026,2024-11-04,178,USD,paid,novacrm_platform|api_access
INV-000262,ACC-0026,2024-12-02,178,USD,paid,novacrm_platform|api_access
INV-000263,ACC-0026,2025-01-04,178,USD,paid,novacrm_platform|api_access
INV-000264,ACC-0027,2023-05-04,49,USD,paid,novacrm_platform
INV-000265,ACC-0027,2023-06-04,49,USD,paid,novacrm_platform
INV-000266,ACC-0028,2023-05-02,49,USD,paid,novacrm_platform
INV-000267,ACC-0028,2023-06-03,49,USD,paid,novacrm_platform
INV-000268,ACC-0028,2023-07-04,49,USD,paid,novacrm_platform
INV-000269,ACC-0028,2023-08-02,49,USD,paid,novacrm_platform
INV-000270,ACC-0028,2023-09-01,78,USD,paid,novacrm_platform|api_access
INV-000271,ACC-0028,2023-10-04,78,USD,overdue,novacrm_platform|api_access
INV-000272,ACC-0028,2023-11-04,78,USD,paid,novacrm_platform|api_access
INV-000273,ACC-0029,2023-11-02,149,USD,paid,novacrm_platform
INV-000274,ACC-0029,2023-12-03,149,USD,paid,novacrm_platform
INV-000275,ACC-0029,2024-01-02,149,USD,paid,novacrm_platform
INV-000276,ACC-0029,2024-02-01,149,USD,overdue,novacrm_platform
INV-000277,ACC-0029,2024-03-04,149,USD,paid,novacrm_platform
INV-000278,ACC-0029,2024-04-01,149,USD,paid,novacrm_platform
INV-000279,ACC-0029,2024-05-01,149,USD,paid,novacrm_platform
INV-000280,ACC-0029,2024-06-01,149,USD,paid,novacrm_platform
INV-000281,ACC-0029,2024-07-01,149,USD,paid,novacrm_platform
INV-000282,ACC-0029,2024-08-01,149,USD,paid,novacrm_platform
INV-000283,ACC-0029,2024-09-02,149,USD,paid,novacrm_platform
INV-000284,ACC-0029,2024-10-01,149,USD,paid,novacrm_platform
INV-000285,ACC-0029,2024-11-03,149,USD,paid,novacrm_platform
INV-000286,ACC-0029,2024-12-03,149,USD,paid,novacrm_platform
INV-000287,ACC-0029,2025-01-03,149,USD,paid,novacrm_platform
INV-000288,ACC-0030,2023-08-02,499,USD,paid,novacrm_platform
INV-000289,ACC-0030,2023-09-02,499,USD,overdue,novacrm_platform
INV-000290,ACC-0030,2023-10-03,499,USD,paid,novacrm_platform
INV-000291,ACC-0030,2023-11-02,499,USD,paid,novacrm_platform
INV-000292,ACC-0030,2023-12-04,558,USD,paid,novacrm_platform|priority_support
INV-000293,ACC-0030,2024-01-01,558,USD,paid,novacrm_platform|priority_support
INV-000294,ACC-0030,2024-02-04,558,USD,overdue,novacrm_platform|priority_support
INV-000295,ACC-0030,2024-03-03,558,USD,paid,novacrm_platform|priority_support
INV-000296,ACC-0030,2024-04-04,558,USD,paid,novacrm_platform|priority_support
INV-000297,ACC-0030,2024-05-04,558,USD,paid,novacrm_platform|priority_support
INV-000298,ACC-0030,2024-06-04,558,USD,paid,novacrm_platform|priority_support
INV-000299,ACC-0030,2024-07-02,558,USD,paid,novacrm_platform|priority_support
INV-000300,ACC-0030,2024-08-02,558,USD,paid,novacrm_platform|priority_support
INV-000301,ACC-0030,2024-09-01,558,USD,paid,novacrm_platform|priority_support
INV-000302,ACC-0030,2024-10-04,558,USD,paid,novacrm_platform|priority_support
INV-000303,ACC-0030,2024-11-02,558,USD,paid,novacrm_platform|priority_support
INV-000304,ACC-0030,2024-12-03,558,USD,paid,novacrm_platform|priority_support
INV-000305,ACC-0030,2025-01-01,558,USD,paid,novacrm_platform|priority_support
INV-000306,ACC-0031,2024-07-03,49,USD,overdue,novacrm_platform
INV-000307,ACC-0031,2024-08-02,49,USD,paid,novacrm_platform
INV-000308,ACC-0031,2024-09-04,49,USD,paid,novacrm_platform
INV-000309,ACC-0031,2024-10-01,49,USD,paid,novacrm_platform
INV-000310,ACC-0031,2024-11-02,49,USD,paid,novacrm_platform
INV-000311,ACC-0031,2024-12-02,49,USD,paid,novacrm_platform
INV-000312,ACC-0031,2025-01-03,49,USD,paid,novacrm_platform
INV-000313,ACC-0032,2023-09-01,49,USD,paid,novacrm_platform
INV-000314,ACC-0032,2023-10-02,49,USD,paid,novacrm_platform
INV-000315,ACC-0032,2023-11-01,49,USD,overdue,novacrm_platform
INV-000316,ACC-0032,2023-12-04,49,USD,paid,novacrm_platform
INV-000317,ACC-0032,2024-01-02,49,USD,paid,novacrm_platform
INV-000318,ACC-0032,2024-02-02,49,USD,paid,novacrm_platform
INV-000319,ACC-0032,2024-03-03,49,USD,paid,novacrm_platform
INV-000320,ACC-0032,2024-04-03,49,USD,paid,novacrm_platform
INV-000321,ACC-0032,2024-05-03,49,USD,paid,novacrm_platform
INV-000322,ACC-0032,2024-06-04,49,USD,paid,novacrm_platform
INV-000323,ACC-0032,2024-07-04,49,USD,paid,novacrm_platform
INV-000324,ACC-0032,2024-08-03,49,USD,paid,novacrm_platform
INV-000325,ACC-0032,2024-09-03,49,USD,paid,novacrm_platform
INV-000326,ACC-0032,2024-10-01,49,USD,paid,novacrm_platform
INV-000327,ACC-0032,2024-11-02,49,USD,paid,novacrm_platform
INV-000328,ACC-0032,2024-12-01,49,USD,paid,novacrm_platform
INV-000329,ACC-0032,2025-01-04,49,USD,paid,novacrm_platform
INV-000330,ACC-0033,2024-08-02,149,USD,paid,novacrm_platform
INV-000331,ACC-0033,2024-09-04,149,USD,paid,novacrm_platform
INV-000332,ACC-0033,2024-10-02,149,USD,paid,novacrm_platform
INV-000333,ACC-0033,2024-11-03,149,USD,paid,novacrm_platform
INV-000334,ACC-0033,2024-12-04,149,USD,paid,novacrm_platform
INV-000335,ACC-0033,2025-01-04,228,USD,overdue,novacrm_platform|advanced_analytics
INV-000336,ACC-0034,2023-04-03,49,USD,paid,novacrm_platform
INV-000337,ACC-0034,2023-05-04,49,USD,paid,novacrm_platform
INV-000338,ACC-0034,2023-06-01,49,USD,paid,novacrm_platform
INV-000339,ACC-0034,2023-07-01,49,USD,paid,novacrm_platform
INV-000340,ACC-0034,2023-08-01,49,USD,overdue,novacrm_platform
INV-000341,ACC-0034,2023-09-04,49,USD,paid,novacrm_platform
INV-000342,ACC-0034,2023-10-02,49,USD,paid,novacrm_platform
INV-000343,ACC-0034,2023-11-02,49,USD,paid,novacrm_platform
INV-000344,ACC-0034,2023-12-04,49,USD,paid,novacrm_platform
INV-000345,ACC-0034,2024-01-04,49,USD,paid,novacrm_platform
INV-000346,ACC-0034,2024-02-01,49,USD,paid,novacrm_platform
INV-000347,ACC-0034,2024-03-04,49,USD,paid,novacrm_platform
INV-000348,ACC-0034,2024-04-03,49,USD,paid,novacrm_platform
INV-000349,ACC-0034,2024-05-03,49,USD,paid,novacrm_platform
INV-000350,ACC-0034,2024-06-04,49,USD,paid,novacrm_platform
INV-000351,ACC-0034,2024-07-02,49,USD,paid,novacrm_platform
INV-000352,ACC-0034,2024-08-01,49,USD,paid,novacrm_platform
INV-000353,ACC-0034,2024-09-02,49,USD,paid,novacrm_platform
INV-000354,ACC-0034,2024-10-03,49,USD,paid,novacrm_platform
INV-000355,ACC-0034,2024-11-03,49,USD,paid,novacrm_platform
INV-000356,ACC-0034,2024-12-01,49,USD,paid,novacrm_platform
INV-000357,ACC-0034,2025-01-04,49,USD,paid,novacrm_platform
INV-000358,ACC-0035,2023-05-02,499,USD,paid,novacrm_platform
INV-000359,ACC-0035,2023-06-02,499,USD,overdue,novacrm_platform
INV-000360,ACC-0035,2023-07-01,578,USD,paid,novacrm_platform|advanced_analytics
INV-000361,ACC-0035,2023-08-01,578,USD,paid,novacrm_platform|advanced_analytics
INV-000362,ACC-0035,2023-09-04,578,USD,paid,novacrm_platform|advanced_analytics
